title,price,bed,bath,area(sq.ft.)
"8441 Vaughan Street Detroit, MI 48228","73,000",3,1,912
"15752 Mansfield Street Detroit, MI 48227","68,950",3,1.5,"1,058"
"7776 Clayburn Street Detroit, MI 48228","59,900",3,1,793
"4087 West Philadelphia Street Detroit, MI 48204","180,000",4,2,"2,508"
"15889 Lawton Street Detroit, MI 48238","80,000",3,1,960
"19959 Braile Street Detroit, MI 48219","95,000",3,1,904
"19750 Chapel Street Detroit, MI 48219","90,000",3,1,"1,012"
"18617 Klinger Street Detroit, MI 48234","60,000",3,1,"1,050"
"4087 West Philadelphia Street Detroit, MI 48204","180,000",4,2,"2,508"
"613 Belmont Street Detroit, MI 48202","289,900",6,2,"2,200"
"16586 Fairfield Street Detroit, MI 48221","105,000",3,1.5,"1,258"
"13287 Robson Street Detroit, MI 48227","65,900",3,1,"1,155"
"19209 Mendota Street Detroit, MI 48221","98,500",4,2,"1,773"
"15501 Asbury Park Detroit, MI 48227","85,000",3,1.5,"1,635"
"7653 Dacosta Detroit, MI 48239","80,000",3,1,"1,062"
"17313 St Marys Street Detroit, MI 48235","95,000",3,1,"1,214"
"18091 Roselawn Street Detroit, MI 48221","185,000",5,2,"3,194"
"18476 Ardmore Street Detroit, MI 48235","89,000",3,1.5,"1,200"
"16848 Strathmoor Street Detroit, MI 48235","95,000",3,1,"1,329"
"15551 Fordham Street Detroit, MI 48205","59,900",4,1.5,"1,710"
"11700 Forrer Street Detroit, MI 48227","60,000",3,1,"1,242"
"20215 Ward Avenue Detroit, MI 48235","85,000",3,1,986
"9535 Grandville Avenue Detroit, MI 48228","69,000",3,1,867
"12309 Klinger Street Detroit, MI 48212","149,900",4,2,972
"903 Alter Road Detroit, MI 48215","199,000",4,2,"2,184"
"15301 Evergreen Road Detroit, MI 48223","90,000",4,1.5,975
"17601 Fielding Street Detroit, MI 48219","58,000",3,1,931
"16710 Stahelin Avenue Detroit, MI 48219","96,000",3,1,"1,033"
"20500 Hickory Street Detroit, MI 48205","60,000",3,1,959
"8257 Freda Street Detroit, MI 48204","69,900",3,1,"1,088"
"5108 Harold Street Detroit, MI 48212","169,900",5,3,"1,800"
"3263 Lothrop Street Detroit, MI 48206","75,000",3,1,"1,441"
"17211 Rutherford Street Detroit, MI 48235","73,900",4,1.5,879
"5298 Marseilles Street Detroit, MI 48224","59,900",3,1,762
"16590 Gilchrist Street Detroit, MI 48235","89,000",3,1,"1,196"
"12135 Patton Street Detroit, MI 48228","70,000",3,1,942
"5937 Radnor Street Detroit, MI 48224","119,000",3,1,"1,116"
"9393 Courville Street Detroit, MI 48224","85,000",4,1.5,"1,506"
"15386 Steel Street Detroit, MI 48227","92,990",4,2,"1,836"
"15372 Steel Street Detroit, MI 48227","82,990",4,2,"1,698"
"15376 Steel Street Detroit, MI 48227","79,990",4,2,"1,698"
"20035 Charest Street Detroit, MI 48234","70,000",3,1.5,"1,008"
"19249 Revere Street Detroit, MI 48234","50,000",3,1,"1,140"
"8834 Terry Street Detroit, MI 48228","60,000",3,2,"1,098"
"19395 Alcoy Avenue Detroit, MI 48205","64,900",3,1,"1,026"
"15825 Cheyenne Street Detroit, MI 48227","52,000",3,1,"1,198"
"8647 Ellsworth Street Detroit, MI 48238","53,000",3,1,"1,152"
"20058 Winston Street Detroit, MI 48219","55,000",3,1,"1,042"
"5950 Cadieux Road Detroit, MI 48224","99,500",3,1.5,"1,099"
"11700 Coyle Street Detroit, MI 48227","55,000",3,1,"1,515"
"6471 Piedmont Street Detroit, MI 48228","64,900",3,1.5,850
"8540 Alpine Street Detroit, MI 48204","54,900",3,1,934
"19759 Annchester Road Detroit, MI 48219","124,900",3,1,"1,200"
"8205 Ward Avenue Detroit, MI 48228","139,900",3,1.5,"1,995"
"18424 Runyon Street Detroit, MI 48234","65,000",3,1.5,"1,064"
"18600 Mendota Street Detroit, MI 48221","247,000",3,2.5,"1,573"
"8305 Heyden Detroit, MI 48228","57,500",3,1,906
"18237 Cherrylawn Street Detroit, MI 48221","199,900",3,1.5,"1,806"
"15770 Birwood Street Detroit, MI 48238","79,500",3,1.5,"1,388"
"15500 Inverness Street Detroit, MI 48238","75,000",4,2,"2,170"
"3684 Buckingham Detroit, MI 48224","76,000",3,2,"1,174"
"22233 Tireman Detroit, MI 48239","125,000",3,1,"1,020"
"8049 Wetherby Street Detroit, MI 48204","69,900",3,1,"1,224"
"13620 St Marys Street Detroit, MI 48227","99,900",3,1.5,"1,020"
