title,price,bed,bath,area(sq.ft.)
"2307 West Grand Street Detroit, MI 48238","310,000",8,4,"4,152"
"20010 Charest Street Detroit, MI 48234","84,999",3,1,"1,008"
"2705 Leslie Street Detroit, MI 48238","60,000",6,2,"2,750"
"4309 Waverly Street Detroit, MI 48238","79,900",4,2,"2,300"
"9985 Minock Street Detroit, MI 48228","55,900",3,1,"1,120"
"13935 Winthrop Street Detroit, MI 48227","125,000",4,2,"1,435"
"8505 Hubbell Avenue Detroit, MI 48228","55,000",3,1,817
"14426 Bringard Drive Detroit, MI 48205","69,000",3,1,"1,000"
"15954 Hackett Street Detroit, MI 48227","174,900",4,2,"2,704"
"12570 Kilbourne Avenue Detroit, MI 48213","60,000",3,1.5,"1,268"
"3047 Marlborough Street Detroit, MI 48215","249,500",4,2.5,"2,000"
"7660 Braile Street Detroit, MI 48228","53,000",3,1.5,"1,143"
"10909 Lakepointe Street Detroit, MI 48224","55,000",3,1,"1,162"
"7547 Dacosta Detroit, MI 48239","65,000",3,1,856
"15474 Prest Street Detroit, MI 48227","59,900",3,1,"1,093"
"15616 Seven Mile East Detroit, MI 48205","53,000",3,1.5,900
"13575 Archdale Street Detroit, MI 48227","110,000",3,1.5,"1,513"
"15724 Tuller Street Detroit, MI 48238","81,500",3,2,"1,377"
"18700 5 Points Street Detroit, MI 48219","89,900",3,1,"1,100"
"18507 Ardmore Street Detroit, MI 48235","72,000",3,1,"1,122"
"3333 Columbus Street Detroit, MI 48206","65,500",4,2,"2,204"
"19355 Coyle Street Detroit, MI 48235","165,000",3,1.5,"1,926"
"9535 Beaverland Street Detroit, MI 48239","71,000",3,1,891
"17586 Wisconsin Street Detroit, MI 48221","130,000",5,3,"1,984"
"8904 Sussex Street Detroit, MI 48228","57,900",3,1,"1,114"
"20442 Carrie Street Detroit, MI 48234","53,500",3,1,"1,560"
"14565 Hartwell Street Detroit, MI 48227","59,900",3,1,941
"19024 Charest Street Detroit, MI 48234","69,999",3,1,"1,476"
"16550 Bramell Detroit, MI 48219","70,000",3,1.5,966
"16103 Bringard Drive Detroit, MI 48205","60,000",3,1,880
"15509 Ferguson Street Detroit, MI 48227","130,000",3,1,"1,435"
"16180 Steel Street Detroit, MI 48235","65,000",3,1,"1,047"
"19766 Patton Street Detroit, MI 48219","76,000",3,1,"1,006"
"10728 Duprey Street Detroit, MI 48224","69,900",3,1,780
"11095 Findlay Avenue Detroit, MI 48205","65,000",3,1,"1,554"
"16207 St Marys Street Detroit, MI 48235","89,000",3,1,"1,004"
"19408 Westphalia Street Detroit, MI 48205","74,900",3,1.5,"1,423"
"20495 Riopelle Street Detroit, MI 48203","75,000",4,1,"1,488"
"11610 Yellowstone Street Detroit, MI 48204","99,000",5,2,"1,404"
"12048 Meyers Road Detroit, MI 48227","55,000",3,2,"1,512"
"11031 Lakepointe Street Detroit, MI 48224","71,300",3,1,"1,120"
"11675 Wayburn Street Detroit, MI 48224","59,900",3,2,"1,300"
"8903 Birwood Street Detroit, MI 48204","97,000",4,2,"2,064"
"15827 Faircrest Street Detroit, MI 48205","72,000",4,1.5,"1,078"
"7286 Beaverland Street Detroit, MI 48239","84,900",3,1,862
"9239 Littlefield Street Detroit, MI 48228","79,000",3,1.5,"1,460"
"16655 Marlowe Street Detroit, MI 48235","79,000",3,1,908
"14740 Woodmont Avenue Detroit, MI 48227","85,900",4,1,"1,481"
"10768 Somerset Avenue Detroit, MI 48224","65,000",3,1.5,984
"13565 Northlawn Street Detroit, MI 48238","85,000",4,2,"2,330"
"17300 Griggs Street Detroit, MI 48221","100,000",3,1.5,"1,398"
"17271 Pierson Street Detroit, MI 48219","67,000",3,1,"1,053"
"14602 Mark Twain Street Detroit, MI 48227","79,900",3,1,"1,476"
"20283 Westphalia Street Detroit, MI 48205","60,000",3,1,924
"14062 Hubbell Avenue Detroit, MI 48227","75,000",3,1,"1,473"
"20451 Kentucky Street Detroit, MI 48221","60,000",3,1,"1,040"
"12024 Wilfred Street Detroit, MI 48213","57,000",4,2,"1,828"
"12092 Coyle Street Detroit, MI 48227","55,000",3,1,"1,029"
"9002 Evergreen Road Detroit, MI 48228","75,000",4,2,882
"8291 Whitcomb Detroit, MI 48228","59,000",3,1,"1,149"
"19443 Sawyer Street Detroit, MI 48228","75,000",6,2,"1,437"
"15003 Hartwell Street Detroit, MI 48227","67,000",3,1.5,"1,200"
"4016 Clements Street Detroit, MI 48238","85,500",4,2,"2,600"
"2472 Concord Avenue Detroit, MI 48207","109,900",4,1,"1,557"
"815 Central Street Detroit, MI 48209","139,000",6,2,"2,290"
"16196 Lesure Street Detroit, MI 48235","61,000",4,1,"1,284"
"11275 Lakepointe Street Detroit, MI 48224","65,000",3,1,"1,022"
"15661 Bringard Drive Detroit, MI 48205","70,000",3,1,"1,053"
"16541 Asbury Park Detroit, MI 48235","78,500",3,1,"1,134"
"2215 Central Avenue Detroit, MI 48209","179,000",6,3,"2,076"
"19924 Biltmore Street Detroit, MI 48235","74,900",3,1,825
